item_id,id,domain,split,condition,prompt_task,prompt,prompt_hash,original_question,open_question,rewritten_question,expected_mechanism,judge_reference_points,leakage_sensitive_terms,choices,choice_A,choice_B,choice_C,choice_D,gold_answer,gold_anachronism_terms,forbidden_terms,required_primitives,primitive_phrase,concept_term,task,human_validated,detected_terms,detector_token_scores,mapped_primitives,model_info,rewrite_validation,repair_attempts,pass_validation
fixed_q011,fixed_q011,AI_Computing,test,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might data compression be useful for sending a large file through a narrow channel?
",f457877387c94185,Why might data compression be useful for sending a large file through a narrow channel?,Why might data compression be useful for sending a large file through a narrow channel?,Why might data compression be useful for sending a large file through a narrow channel?,uses shorter codes for repeated or predictable parts,"[""uses shorter codes for repeated or predictable parts""]","[""fewer"", ""information"", ""represents"", ""same"", ""symbols""]","{""A"": ""It represents the same information with fewer symbols."", ""B"": ""It cuts delay by avoiding a long trip to a remote machine."", ""C"": ""It avoids recomputing or refetching the same result."", ""D"": ""It gives both systems a stable contract for requests and replies.""}",It represents the same information with fewer symbols.,It cuts delay by avoiding a long trip to a remote machine.,It avoids recomputing or refetching the same result.,It gives both systems a stable contract for requests and replies.,A,"[""data compression"", ""compression""]","[""data compression"", ""compression""]","[""data_compression""]",uses shorter codes for repeated or predictable parts,data compression,sending a large file through a narrow channel,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q012,fixed_q012,AI_Computing,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might version control be useful for coordinating changes to a shared program?
",9aebb1d38da9d025,Why might version control be useful for coordinating changes to a shared program?,Why might version control be useful for coordinating changes to a shared program?,Why might version control be useful for coordinating changes to a shared program?,keeps a dated history of edits and lets workers merge changes,"[""keeps a dated history of edits and lets workers merge changes""]","[""conflicting"", ""edits"", ""makes"", ""past"", ""recoverable"", ""versions""]","{""A"": ""It converts images of letters into machine-readable characters."", ""B"": ""It makes past versions recoverable and conflicting edits visible."", ""C"": ""It adds or removes remote capacity without owning every machine locally."", ""D"": ""It avoids recomputing or refetching the same result.""}",It converts images of letters into machine-readable characters.,It makes past versions recoverable and conflicting edits visible.,It adds or removes remote capacity without owning every machine locally.,It avoids recomputing or refetching the same result.,B,"[""version control""]","[""version control""]","[""version_control""]",keeps a dated history of edits and lets workers merge changes,version control,coordinating changes to a shared program,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q013,fixed_q013,AI_Computing,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might blockchain be useful for keeping a tamper-resistant public ledger?
",fe42c0b31457eb7b,Why might blockchain be useful for keeping a tamper-resistant public ledger?,Why might blockchain be useful for keeping a tamper-resistant public ledger?,Why might blockchain be useful for keeping a tamper-resistant public ledger?,links records so each new record depends on earlier records,"[""links records so each new record depends on earlier records""]","[""alteration"", ""detect"", ""easy"", ""later"", ""makes""]","{""A"": ""It checks outside records before answering, so unsupported claims are less likely."", ""B"": ""It keeps the program environment consistent across machines."", ""C"": ""It makes later alteration easy to detect."", ""D"": ""It avoids recomputing or refetching the same result.""}","It checks outside records before answering, so unsupported claims are less likely.",It keeps the program environment consistent across machines.,It makes later alteration easy to detect.,It avoids recomputing or refetching the same result.,C,"[""blockchain""]","[""blockchain""]","[""blockchain""]",links records so each new record depends on earlier records,blockchain,keeping a tamper-resistant public ledger,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q014,fixed_q014,AI_Computing,test,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might recommender system be useful for choosing items a person may like?
",5614bed722190f40,Why might recommender system be useful for choosing items a person may like?,Why might recommender system be useful for choosing items a person may like?,Why might recommender system be useful for choosing items a person may like?,compares past choices and similarities among people or objects,"[""compares past choices and similarities among people or objects""]","[""items"", ""likely"", ""patterns"", ""preference"", ""rank""]","{""A"": ""It makes past versions recoverable and conflicting edits visible."", ""B"": ""It keeps the program environment consistent across machines."", ""C"": ""It converts images of letters into machine-readable characters."", ""D"": ""It uses preference patterns to rank likely useful items.""}",It makes past versions recoverable and conflicting edits visible.,It keeps the program environment consistent across machines.,It converts images of letters into machine-readable characters.,It uses preference patterns to rank likely useful items.,D,"[""recommender system""]","[""recommender system""]","[""recommender_system""]",compares past choices and similarities among people or objects,recommender system,choosing items a person may like,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q015,fixed_q015,AI_Computing,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might spam filter be useful for screening unwanted electronic messages?
",f5b1c958929c2373,Why might spam filter be useful for screening unwanted electronic messages?,Why might spam filter be useful for screening unwanted electronic messages?,Why might spam filter be useful for screening unwanted electronic messages?,learns signs that separate wanted messages from unwanted ones,"[""learns signs that separate wanted messages from unwanted ones""]","[""before"", ""likely"", ""marks"", ""messages"", ""reach"", ""reader""]","{""A"": ""It marks likely unwanted messages before they reach the reader."", ""B"": ""It uses preference patterns to rank likely useful items."", ""C"": ""It gives both systems a stable contract for requests and replies."", ""D"": ""It makes later alteration easy to detect.""}",It marks likely unwanted messages before they reach the reader.,It uses preference patterns to rank likely useful items.,It gives both systems a stable contract for requests and replies.,It makes later alteration easy to detect.,A,"[""spam filter""]","[""spam filter""]","[""spam_filter""]",learns signs that separate wanted messages from unwanted ones,spam filter,screening unwanted electronic messages,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q016,fixed_q016,AI_Computing,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might OCR be useful for turning scanned pages into editable text?
",7db8be49b89d7f4f,Why might OCR be useful for turning scanned pages into editable text?,Why might OCR be useful for turning scanned pages into editable text?,Why might OCR be useful for turning scanned pages into editable text?,matches shapes of printed letters to written symbols,"[""matches shapes of printed letters to written symbols""]","[""characters"", ""converts"", ""images"", ""letters"", ""readable""]","{""A"": ""It keeps the program environment consistent across machines."", ""B"": ""It converts images of letters into machine-readable characters."", ""C"": ""It cuts delay by avoiding a long trip to a remote machine."", ""D"": ""It groups texts by language evidence rather than manual reading alone.""}",It keeps the program environment consistent across machines.,It converts images of letters into machine-readable characters.,It cuts delay by avoiding a long trip to a remote machine.,It groups texts by language evidence rather than manual reading alone.,B,"[""OCR"", ""optical character recognition""]","[""OCR"", ""optical character recognition""]","[""ocr""]",matches shapes of printed letters to written symbols,OCR,turning scanned pages into editable text,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q017,fixed_q017,AI_Computing,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might natural language processing be useful for sorting written complaints by topic?
",48ae06207c68cc5c,Why might natural language processing be useful for sorting written complaints by topic?,Why might natural language processing be useful for sorting written complaints by topic?,Why might natural language processing be useful for sorting written complaints by topic?,uses statistical patterns in words and phrases,"[""uses statistical patterns in words and phrases""]","[""alone"", ""evidence"", ""groups"", ""language"", ""manual"", ""rather""]","{""A"": ""It reduces error by using independent observations together."", ""B"": ""It avoids inspecting every record one by one."", ""C"": ""It groups texts by language evidence rather than manual reading alone."", ""D"": ""It uses preference patterns to rank likely useful items.""}",It reduces error by using independent observations together.,It avoids inspecting every record one by one.,It groups texts by language evidence rather than manual reading alone.,It uses preference patterns to rank likely useful items.,C,"[""NLP"", ""natural language processing""]","[""natural language processing"", ""NLP""]","[""natural_language_processing""]",uses statistical patterns in words and phrases,natural language processing,sorting written complaints by topic,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q018,fixed_q018,AI_Computing,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might sensor fusion be useful for guiding a moving machine through a room?
",e608a8e410af0138,Why might sensor fusion be useful for guiding a moving machine through a room?,Why might sensor fusion be useful for guiding a moving machine through a room?,Why might sensor fusion be useful for guiding a moving machine through a room?,combines measurements from several instruments,"[""combines measurements from several instruments""]","[""error"", ""independent"", ""observations"", ""reduces"", ""together""]","{""A"": ""It makes later alteration easy to detect."", ""B"": ""It groups texts by language evidence rather than manual reading alone."", ""C"": ""It converts images of letters into machine-readable characters."", ""D"": ""It reduces error by using independent observations together.""}",It makes later alteration easy to detect.,It groups texts by language evidence rather than manual reading alone.,It converts images of letters into machine-readable characters.,It reduces error by using independent observations together.,D,"[""sensor fusion""]","[""sensor fusion""]","[""sensor_fusion""]",combines measurements from several instruments,sensor fusion,guiding a moving machine through a room,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q019,fixed_q019,AI_Computing,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might edge computing be useful for reacting quickly to local measurements?
",424ad6efb6540897,Why might edge computing be useful for reacting quickly to local measurements?,Why might edge computing be useful for reacting quickly to local measurements?,Why might edge computing be useful for reacting quickly to local measurements?,does computation near the measuring device instead of a distant center,"[""does computation near the measuring device instead of a distant center""]","[""avoiding"", ""cuts"", ""delay"", ""long"", ""remote"", ""trip""]","{""A"": ""It cuts delay by avoiding a long trip to a remote machine."", ""B"": ""It converts images of letters into machine-readable characters."", ""C"": ""It combines many small weighted signals into a prediction."", ""D"": ""It uses preference patterns to rank likely useful items.""}",It cuts delay by avoiding a long trip to a remote machine.,It converts images of letters into machine-readable characters.,It combines many small weighted signals into a prediction.,It uses preference patterns to rank likely useful items.,A,"[""edge computing""]","[""edge computing""]","[""edge_computing""]",does computation near the measuring device instead of a distant center,edge computing,reacting quickly to local measurements,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q020,fixed_q020,AI_Computing,test,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might software container be useful for running a program on different machines?
",ca027f05c2d7b90a,Why might software container be useful for running a program on different machines?,Why might software container be useful for running a program on different machines?,Why might software container be useful for running a program on different machines?,packs a program with the surrounding files it expects,"[""packs a program with the surrounding files it expects""]","[""across"", ""consistent"", ""environment"", ""keeps"", ""machines"", ""program""]","{""A"": ""It cuts delay by avoiding a long trip to a remote machine."", ""B"": ""It keeps the program environment consistent across machines."", ""C"": ""It checks outside records before answering, so unsupported claims are less likely."", ""D"": ""It groups texts by language evidence rather than manual reading alone.""}",It cuts delay by avoiding a long trip to a remote machine.,It keeps the program environment consistent across machines.,"It checks outside records before answering, so unsupported claims are less likely.",It groups texts by language evidence rather than manual reading alone.,B,"[""software container"", ""containerization""]","[""software container"", ""containerization""]","[""software_container""]",packs a program with the surrounding files it expects,software container,running a program on different machines,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q021,fixed_q021,Medicine_Biology,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might MRI be useful for looking inside soft tissue without cutting the body?
",05d122ba28ff03db,Why might MRI be useful for looking inside soft tissue without cutting the body?,Why might MRI be useful for looking inside soft tissue without cutting the body?,Why might MRI be useful for looking inside soft tissue without cutting the body?,uses strong magnetic effects and measured returning signals to form an inside picture,"[""uses strong magnetic effects and measured returning signals to form an inside picture""]","[""distinguishes"", ""knife"", ""soft"", ""tissues"", ""without""]","{""A"": ""It helps identify contacts faster than memory alone."", ""B"": ""It uses light absorption differences to estimate oxygen level."", ""C"": ""It distinguishes soft tissues without using a knife."", ""D"": ""It trains defenses without giving the whole disease agent.""}",It helps identify contacts faster than memory alone.,It uses light absorption differences to estimate oxygen level.,It distinguishes soft tissues without using a knife.,It trains defenses without giving the whole disease agent.,C,"[""MRI"", ""magnetic resonance imaging""]","[""MRI"", ""magnetic resonance imaging""]","[""mri""]",uses strong magnetic effects and measured returning signals to form an inside picture,MRI,looking inside soft tissue without cutting the body,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q022,fixed_q022,Medicine_Biology,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might PCR be useful for detecting a tiny trace of hereditary material?
",660d4cccc9c5d268,Why might PCR be useful for detecting a tiny trace of hereditary material?,Why might PCR be useful for detecting a tiny trace of hereditary material?,Why might PCR be useful for detecting a tiny trace of hereditary material?,copies a chosen hereditary chemical segment many times,"[""copies a chosen hereditary chemical segment many times""]","[""enough"", ""material"", ""measure"", ""small"", ""trace"", ""turns""]","{""A"": ""It uses little sample and short paths to speed measurement."", ""B"": ""It reveals the exact order where differences can be found."", ""C"": ""It lets surviving germs become more common after treatment."", ""D"": ""It turns a small trace into enough material to measure.""}",It uses little sample and short paths to speed measurement.,It reveals the exact order where differences can be found.,It lets surviving germs become more common after treatment.,It turns a small trace into enough material to measure.,D,"[""PCR"", ""polymerase chain reaction""]","[""PCR"", ""polymerase chain reaction""]","[""pcr""]",copies a chosen hereditary chemical segment many times,PCR,detecting a tiny trace of hereditary material,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q023,fixed_q023,Medicine_Biology,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might DNA sequencing be useful for identifying changes in hereditary material?
",59f2f3dbb220a834,Why might DNA sequencing be useful for identifying changes in hereditary material?,Why might DNA sequencing be useful for identifying changes in hereditary material?,Why might DNA sequencing be useful for identifying changes in hereditary material?,reads the order of hereditary chemical units,"[""reads the order of hereditary chemical units""]","[""differences"", ""exact"", ""found"", ""order"", ""reveals"", ""where""]","{""A"": ""It reveals the exact order where differences can be found."", ""B"": ""It trains defenses without giving the whole disease agent."", ""C"": ""It reduces the chance that the body rejects the donated organ."", ""D"": ""It may replace or support damaged specialized cells.""}",It reveals the exact order where differences can be found.,It trains defenses without giving the whole disease agent.,It reduces the chance that the body rejects the donated organ.,It may replace or support damaged specialized cells.,A,"[""DNA sequencing""]","[""DNA sequencing""]","[""dna_sequencing""]",reads the order of hereditary chemical units,DNA sequencing,identifying changes in hereditary material,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q024,fixed_q024,Medicine_Biology,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might CRISPR be useful for editing a chosen hereditary instruction?
",8813dc544851448d,Why might CRISPR be useful for editing a chosen hereditary instruction?,Why might CRISPR be useful for editing a chosen hereditary instruction?,Why might CRISPR be useful for editing a chosen hereditary instruction?,uses a guided molecular tool to cut a selected hereditary location,"[""uses a guided molecular tool to cut a selected hereditary location""]","[""aims"", ""altering"", ""change"", ""chosen"", ""instead"", ""location""]","{""A"": ""It uses light absorption differences to estimate oxygen level."", ""B"": ""It aims the change at a chosen location instead of altering many places."", ""C"": ""It lets surviving germs become more common after treatment."", ""D"": ""It may replace or support damaged specialized cells.""}",It uses light absorption differences to estimate oxygen level.,It aims the change at a chosen location instead of altering many places.,It lets surviving germs become more common after treatment.,It may replace or support damaged specialized cells.,B,"[""CRISPR""]","[""CRISPR""]","[""crispr""]",uses a guided molecular tool to cut a selected hereditary location,CRISPR,editing a chosen hereditary instruction,false,[],[],[],{},"{""pass"": true}",0,true
