item_id,id,domain,split,condition,prompt,prompt_hash,original_question,rewritten_question,choices,choice_A,choice_B,choice_C,choice_D,gold_answer,gold_anachronism_terms,forbidden_terms,required_primitives,primitive_phrase,human_validated,detected_terms,detector_token_scores,mapped_primitives,model_info,rewrite_validation,repair_attempts,pass_validation
fixed_q011,fixed_q011,AI_Computing,test,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
When attempting sending a large file through a narrow channel, what is the clearest justification for using data compression?

Choices:
A. It represents the same information with fewer symbols.
B. It cuts delay by avoiding a long trip to a remote machine.
C. It avoids recomputing or refetching the same result.
D. It gives both systems a stable contract for requests and replies.
",06028fc1977034f6,"When attempting sending a large file through a narrow channel, what is the clearest justification for using data compression?","When attempting sending a large file through a narrow channel, what is the clearest justification for using data compression?","{""A"": ""It represents the same information with fewer symbols."", ""B"": ""It cuts delay by avoiding a long trip to a remote machine."", ""C"": ""It avoids recomputing or refetching the same result."", ""D"": ""It gives both systems a stable contract for requests and replies.""}",It represents the same information with fewer symbols.,It cuts delay by avoiding a long trip to a remote machine.,It avoids recomputing or refetching the same result.,It gives both systems a stable contract for requests and replies.,A,"[""data compression"", ""compression""]","[""data compression"", ""compression""]","[""data_compression""]",uses shorter codes for repeated or predictable parts,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q012,fixed_q012,AI_Computing,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Which description captures the useful function of version control in the context of coordinating changes to a shared program?

Choices:
A. It converts images of letters into machine-readable characters.
B. It makes past versions recoverable and conflicting edits visible.
C. It adds or removes remote capacity without owning every machine locally.
D. It avoids recomputing or refetching the same result.
",647ff0ee60cf4e15,Which description captures the useful function of version control in the context of coordinating changes to a shared program?,Which description captures the useful function of version control in the context of coordinating changes to a shared program?,"{""A"": ""It converts images of letters into machine-readable characters."", ""B"": ""It makes past versions recoverable and conflicting edits visible."", ""C"": ""It adds or removes remote capacity without owning every machine locally."", ""D"": ""It avoids recomputing or refetching the same result.""}",It converts images of letters into machine-readable characters.,It makes past versions recoverable and conflicting edits visible.,It adds or removes remote capacity without owning every machine locally.,It avoids recomputing or refetching the same result.,B,"[""version control""]","[""version control""]","[""version_control""]",keeps a dated history of edits and lets workers merge changes,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q013,fixed_q013,AI_Computing,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
For a case involving keeping a tamper-resistant public ledger, why is blockchain relevant?

Choices:
A. It checks outside records before answering, so unsupported claims are less likely.
B. It keeps the program environment consistent across machines.
C. It makes later alteration easy to detect.
D. It avoids recomputing or refetching the same result.
",e1a6b75cccb61771,"For a case involving keeping a tamper-resistant public ledger, why is blockchain relevant?","For a case involving keeping a tamper-resistant public ledger, why is blockchain relevant?","{""A"": ""It checks outside records before answering, so unsupported claims are less likely."", ""B"": ""It keeps the program environment consistent across machines."", ""C"": ""It makes later alteration easy to detect."", ""D"": ""It avoids recomputing or refetching the same result.""}","It checks outside records before answering, so unsupported claims are less likely.",It keeps the program environment consistent across machines.,It makes later alteration easy to detect.,It avoids recomputing or refetching the same result.,C,"[""blockchain""]","[""blockchain""]","[""blockchain""]",links records so each new record depends on earlier records,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q014,fixed_q014,AI_Computing,test,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
What is the strongest explanation for applying recommender system to choosing items a person may like?

Choices:
A. It makes past versions recoverable and conflicting edits visible.
B. It keeps the program environment consistent across machines.
C. It converts images of letters into machine-readable characters.
D. It uses preference patterns to rank likely useful items.
",113e1140dfc1ee9a,What is the strongest explanation for applying recommender system to choosing items a person may like?,What is the strongest explanation for applying recommender system to choosing items a person may like?,"{""A"": ""It makes past versions recoverable and conflicting edits visible."", ""B"": ""It keeps the program environment consistent across machines."", ""C"": ""It converts images of letters into machine-readable characters."", ""D"": ""It uses preference patterns to rank likely useful items.""}",It makes past versions recoverable and conflicting edits visible.,It keeps the program environment consistent across machines.,It converts images of letters into machine-readable characters.,It uses preference patterns to rank likely useful items.,D,"[""recommender system""]","[""recommender system""]","[""recommender_system""]",compares past choices and similarities among people or objects,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q015,fixed_q015,AI_Computing,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A group is evaluating tools for screening unwanted electronic messages. Which property of spam filter matters most?

Choices:
A. It marks likely unwanted messages before they reach the reader.
B. It uses preference patterns to rank likely useful items.
C. It gives both systems a stable contract for requests and replies.
D. It makes later alteration easy to detect.
",c4f53d2668c2111d,A group is evaluating tools for screening unwanted electronic messages. Which property of spam filter matters most?,A group is evaluating tools for screening unwanted electronic messages. Which property of spam filter matters most?,"{""A"": ""It marks likely unwanted messages before they reach the reader."", ""B"": ""It uses preference patterns to rank likely useful items."", ""C"": ""It gives both systems a stable contract for requests and replies."", ""D"": ""It makes later alteration easy to detect.""}",It marks likely unwanted messages before they reach the reader.,It uses preference patterns to rank likely useful items.,It gives both systems a stable contract for requests and replies.,It makes later alteration easy to detect.,A,"[""spam filter""]","[""spam filter""]","[""spam_filter""]",learns signs that separate wanted messages from unwanted ones,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q016,fixed_q016,AI_Computing,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Which statement gives the best reason that OCR is associated with turning scanned pages into editable text?

Choices:
A. It keeps the program environment consistent across machines.
B. It converts images of letters into machine-readable characters.
C. It cuts delay by avoiding a long trip to a remote machine.
D. It groups texts by language evidence rather than manual reading alone.
",e01f037a65eb2b0c,Which statement gives the best reason that OCR is associated with turning scanned pages into editable text?,Which statement gives the best reason that OCR is associated with turning scanned pages into editable text?,"{""A"": ""It keeps the program environment consistent across machines."", ""B"": ""It converts images of letters into machine-readable characters."", ""C"": ""It cuts delay by avoiding a long trip to a remote machine."", ""D"": ""It groups texts by language evidence rather than manual reading alone.""}",It keeps the program environment consistent across machines.,It converts images of letters into machine-readable characters.,It cuts delay by avoiding a long trip to a remote machine.,It groups texts by language evidence rather than manual reading alone.,B,"[""OCR"", ""optical character recognition""]","[""OCR"", ""optical character recognition""]","[""ocr""]",matches shapes of printed letters to written symbols,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q017,fixed_q017,AI_Computing,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A team is working on sorting written complaints by topic. Which explanation best supports using natural language processing?

Choices:
A. It reduces error by using independent observations together.
B. It avoids inspecting every record one by one.
C. It groups texts by language evidence rather than manual reading alone.
D. It uses preference patterns to rank likely useful items.
",9dd78d216a6fbaff,A team is working on sorting written complaints by topic. Which explanation best supports using natural language processing?,A team is working on sorting written complaints by topic. Which explanation best supports using natural language processing?,"{""A"": ""It reduces error by using independent observations together."", ""B"": ""It avoids inspecting every record one by one."", ""C"": ""It groups texts by language evidence rather than manual reading alone."", ""D"": ""It uses preference patterns to rank likely useful items.""}",It reduces error by using independent observations together.,It avoids inspecting every record one by one.,It groups texts by language evidence rather than manual reading alone.,It uses preference patterns to rank likely useful items.,C,"[""NLP"", ""natural language processing""]","[""natural language processing"", ""NLP""]","[""natural_language_processing""]",uses statistical patterns in words and phrases,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q018,fixed_q018,AI_Computing,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Consider the use of sensor fusion for guiding a moving machine through a room. What is its most relevant advantage?

Choices:
A. It makes later alteration easy to detect.
B. It groups texts by language evidence rather than manual reading alone.
C. It converts images of letters into machine-readable characters.
D. It reduces error by using independent observations together.
",535b8cbb77251ce5,Consider the use of sensor fusion for guiding a moving machine through a room. What is its most relevant advantage?,Consider the use of sensor fusion for guiding a moving machine through a room. What is its most relevant advantage?,"{""A"": ""It makes later alteration easy to detect."", ""B"": ""It groups texts by language evidence rather than manual reading alone."", ""C"": ""It converts images of letters into machine-readable characters."", ""D"": ""It reduces error by using independent observations together.""}",It makes later alteration easy to detect.,It groups texts by language evidence rather than manual reading alone.,It converts images of letters into machine-readable characters.,It reduces error by using independent observations together.,D,"[""sensor fusion""]","[""sensor fusion""]","[""sensor_fusion""]",combines measurements from several instruments,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q019,fixed_q019,AI_Computing,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Which mechanism explains why edge computing can help with reacting quickly to local measurements?

Choices:
A. It cuts delay by avoiding a long trip to a remote machine.
B. It converts images of letters into machine-readable characters.
C. It combines many small weighted signals into a prediction.
D. It uses preference patterns to rank likely useful items.
",8f2c6363b9a5a227,Which mechanism explains why edge computing can help with reacting quickly to local measurements?,Which mechanism explains why edge computing can help with reacting quickly to local measurements?,"{""A"": ""It cuts delay by avoiding a long trip to a remote machine."", ""B"": ""It converts images of letters into machine-readable characters."", ""C"": ""It combines many small weighted signals into a prediction."", ""D"": ""It uses preference patterns to rank likely useful items.""}",It cuts delay by avoiding a long trip to a remote machine.,It converts images of letters into machine-readable characters.,It combines many small weighted signals into a prediction.,It uses preference patterns to rank likely useful items.,A,"[""edge computing""]","[""edge computing""]","[""edge_computing""]",does computation near the measuring device instead of a distant center,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q020,fixed_q020,AI_Computing,test,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A decision-maker is comparing methods for running a program on different machines. Why might software container be selected?

Choices:
A. It cuts delay by avoiding a long trip to a remote machine.
B. It keeps the program environment consistent across machines.
C. It checks outside records before answering, so unsupported claims are less likely.
D. It groups texts by language evidence rather than manual reading alone.
",c6fba7e577f23390,A decision-maker is comparing methods for running a program on different machines. Why might software container be selected?,A decision-maker is comparing methods for running a program on different machines. Why might software container be selected?,"{""A"": ""It cuts delay by avoiding a long trip to a remote machine."", ""B"": ""It keeps the program environment consistent across machines."", ""C"": ""It checks outside records before answering, so unsupported claims are less likely."", ""D"": ""It groups texts by language evidence rather than manual reading alone.""}",It cuts delay by avoiding a long trip to a remote machine.,It keeps the program environment consistent across machines.,"It checks outside records before answering, so unsupported claims are less likely.",It groups texts by language evidence rather than manual reading alone.,B,"[""software container"", ""containerization""]","[""software container"", ""containerization""]","[""software_container""]",packs a program with the surrounding files it expects,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q021,fixed_q021,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
What practical benefit does MRI provide when the goal is looking inside soft tissue without cutting the body?

Choices:
A. It helps identify contacts faster than memory alone.
B. It uses light absorption differences to estimate oxygen level.
C. It distinguishes soft tissues without using a knife.
D. It trains defenses without giving the whole disease agent.
",f080aea007631cd6,What practical benefit does MRI provide when the goal is looking inside soft tissue without cutting the body?,What practical benefit does MRI provide when the goal is looking inside soft tissue without cutting the body?,"{""A"": ""It helps identify contacts faster than memory alone."", ""B"": ""It uses light absorption differences to estimate oxygen level."", ""C"": ""It distinguishes soft tissues without using a knife."", ""D"": ""It trains defenses without giving the whole disease agent.""}",It helps identify contacts faster than memory alone.,It uses light absorption differences to estimate oxygen level.,It distinguishes soft tissues without using a knife.,It trains defenses without giving the whole disease agent.,C,"[""MRI"", ""magnetic resonance imaging""]","[""MRI"", ""magnetic resonance imaging""]","[""mri""]",uses strong magnetic effects and measured returning signals to form an inside picture,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q022,fixed_q022,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Suppose a system must handle detecting a tiny trace of hereditary material. Which statement best explains the role of PCR?

Choices:
A. It uses little sample and short paths to speed measurement.
B. It reveals the exact order where differences can be found.
C. It lets surviving germs become more common after treatment.
D. It turns a small trace into enough material to measure.
",404774a935e883a8,Suppose a system must handle detecting a tiny trace of hereditary material. Which statement best explains the role of PCR?,Suppose a system must handle detecting a tiny trace of hereditary material. Which statement best explains the role of PCR?,"{""A"": ""It uses little sample and short paths to speed measurement."", ""B"": ""It reveals the exact order where differences can be found."", ""C"": ""It lets surviving germs become more common after treatment."", ""D"": ""It turns a small trace into enough material to measure.""}",It uses little sample and short paths to speed measurement.,It reveals the exact order where differences can be found.,It lets surviving germs become more common after treatment.,It turns a small trace into enough material to measure.,D,"[""PCR"", ""polymerase chain reaction""]","[""PCR"", ""polymerase chain reaction""]","[""pcr""]",copies a chosen hereditary chemical segment many times,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q023,fixed_q023,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
In a discussion about identifying changes in hereditary material, which account of DNA sequencing is the most accurate?

Choices:
A. It reveals the exact order where differences can be found.
B. It trains defenses without giving the whole disease agent.
C. It reduces the chance that the body rejects the donated organ.
D. It may replace or support damaged specialized cells.
",664e72a2279b6eff,"In a discussion about identifying changes in hereditary material, which account of DNA sequencing is the most accurate?","In a discussion about identifying changes in hereditary material, which account of DNA sequencing is the most accurate?","{""A"": ""It reveals the exact order where differences can be found."", ""B"": ""It trains defenses without giving the whole disease agent."", ""C"": ""It reduces the chance that the body rejects the donated organ."", ""D"": ""It may replace or support damaged specialized cells.""}",It reveals the exact order where differences can be found.,It trains defenses without giving the whole disease agent.,It reduces the chance that the body rejects the donated organ.,It may replace or support damaged specialized cells.,A,"[""DNA sequencing""]","[""DNA sequencing""]","[""dna_sequencing""]",reads the order of hereditary chemical units,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q024,fixed_q024,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Why would a specialist consider CRISPR when working on editing a chosen hereditary instruction?

Choices:
A. It uses light absorption differences to estimate oxygen level.
B. It aims the change at a chosen location instead of altering many places.
C. It lets surviving germs become more common after treatment.
D. It may replace or support damaged specialized cells.
",6fa774b3e9de336b,Why would a specialist consider CRISPR when working on editing a chosen hereditary instruction?,Why would a specialist consider CRISPR when working on editing a chosen hereditary instruction?,"{""A"": ""It uses light absorption differences to estimate oxygen level."", ""B"": ""It aims the change at a chosen location instead of altering many places."", ""C"": ""It lets surviving germs become more common after treatment."", ""D"": ""It may replace or support damaged specialized cells.""}",It uses light absorption differences to estimate oxygen level.,It aims the change at a chosen location instead of altering many places.,It lets surviving germs become more common after treatment.,It may replace or support damaged specialized cells.,B,"[""CRISPR""]","[""CRISPR""]","[""crispr""]",uses a guided molecular tool to cut a selected hereditary location,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q025,fixed_q025,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Which statement best describes how antibiotic resistance contributes to explaining why a germ medicine stops working?

Choices:
A. It may replace or support damaged specialized cells.
B. It reduces multiplication of the virus.
C. It lets surviving germs become more common after treatment.
D. It reconstructs slices that show internal structure.
",ef21731617870899,Which statement best describes how antibiotic resistance contributes to explaining why a germ medicine stops working?,Which statement best describes how antibiotic resistance contributes to explaining why a germ medicine stops working?,"{""A"": ""It may replace or support damaged specialized cells."", ""B"": ""It reduces multiplication of the virus."", ""C"": ""It lets surviving germs become more common after treatment."", ""D"": ""It reconstructs slices that show internal structure.""}",It may replace or support damaged specialized cells.,It reduces multiplication of the virus.,It lets surviving germs become more common after treatment.,It reconstructs slices that show internal structure.,C,"[""antibiotic resistance"", ""antibiotic""]","[""antibiotic resistance"", ""antibiotic""]","[""antibiotic_resistance""]",describes germs surviving a medicine and passing that trait onward,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q026,fixed_q026,Medicine_Biology,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A project is designed around teaching the body to recognize a disease agent. What is the main reason to include mRNA vaccine?

Choices:
A. It turns specific binding into a visible measurement.
B. It allows medical judgment without both people being in one room.
C. It forms pictures from returning sound waves.
D. It trains defenses without giving the whole disease agent.
",06c8e1726b3f1bee,A project is designed around teaching the body to recognize a disease agent. What is the main reason to include mRNA vaccine?,A project is designed around teaching the body to recognize a disease agent. What is the main reason to include mRNA vaccine?,"{""A"": ""It turns specific binding into a visible measurement."", ""B"": ""It allows medical judgment without both people being in one room."", ""C"": ""It forms pictures from returning sound waves."", ""D"": ""It trains defenses without giving the whole disease agent.""}",It turns specific binding into a visible measurement.,It allows medical judgment without both people being in one room.,It forms pictures from returning sound waves.,It trains defenses without giving the whole disease agent.,D,"[""mRNA vaccine"", ""mRNA""]","[""mRNA vaccine"", ""mRNA""]","[""mrna_vaccine""]",delivers temporary instructions for making a harmless identifying part,false,[],[],[],{},"{""pass"": true}",0,true
